手牌 (Hand),前段牌 (Front Tiles),後段牌 (Rear Tiles),前段牌型 (Front Rank),後段牌型 (Rear Rank)
"人, 人, 和, 和","和, 和","人, 人","和對","人對"
"人, 人, 和, 地","地, 和","人, 人","6點","人對"
"人, 人, 和, 天","天, 和","人, 人","6點","人對"
"人, 人, 和, 猴","和, 猴","人, 人","7點","人對"
"人, 人, 和, 短七","和, 短七","人, 人","1點","人對"
"人, 人, 和, 短六","和, 短六","人, 人","0點","人對"
"人, 人, 和, 短十","和, 短十","人, 人","4點","人對"
"人, 人, 和, 短十一","和, 短十一","人, 人","5點","人對"
"人, 人, 和, 長六","和, 長六","人, 人","0點","人對"
"人, 人, 和, 長十","和, 長十","人, 人","4點","人對"
"人, 人, 和, 長四","和, 長四","人, 人","8點","人對"
"人, 人, 和, 雜七","和, 雜七","人, 人","1點","人對"
"人, 人, 和, 雜九","和, 雜九","人, 人","3點","人對"
"人, 人, 和, 雜五","和, 雜五","人, 人","9點","人對"
"人, 人, 和, 雜八","和, 雜八","人, 人","2點","人對"
"人, 人, 地, 地","人, 人","地, 地","人對","地對"
"人, 人, 地, 天","地, 人","天, 人","地槓","天槓"
"人, 人, 地, 猴","地, 猴","人, 人","8點","人對"
"人, 人, 地, 短七","地, 短七","人, 人","9點","人對"
"人, 人, 地, 短六","地, 短六","人, 人","8點","人對"
"人, 人, 地, 短十","人, 短十","地, 人","8點","地槓"
"人, 人, 地, 短十一","人, 短十一","地, 人","9點","地槓"
"人, 人, 地, 長六","地, 長六","人, 人","8點","人對"
"人, 人, 地, 長十","人, 長十","地, 人","8點","地槓"
"人, 人, 地, 長四","地, 長四","人, 人","6點","人對"
"人, 人, 地, 雜七","地, 雜七","人, 人","9點","人對"
"人, 人, 地, 雜九","人, 雜九","地, 人","7點","地槓"
"人, 人, 地, 雜五","地, 雜五","人, 人","7點","人對"
"人, 人, 地, 雜八","地, 雜八","人, 人","地槓","人對"
"人, 人, 天, 天","人, 人","天, 天","人對","天對"
"人, 人, 天, 猴","天, 猴","人, 人","8點","人對"
"人, 人, 天, 短七","天, 短七","人, 人","9點","人對"
"人, 人, 天, 短六","天, 短六","人, 人","8點","人對"
"人, 人, 天, 短十","人, 短十","天, 人","8點","天槓"
"人, 人, 天, 短十一","人, 短十一","天, 人","9點","天槓"
"人, 人, 天, 長六","天, 長六","人, 人","8點","人對"
"人, 人, 天, 長十","人, 長十","天, 人","8點","天槓"
"人, 人, 天, 長四","天, 長四","人, 人","6點","人對"
"人, 人, 天, 雜七","天, 雜七","人, 人","9點","人對"
"人, 人, 天, 雜九","人, 雜九","天, 人","7點","天槓"
"人, 人, 天, 雜五","天, 雜五","人, 人","7點","人對"
"人, 人, 天, 雜八","天, 雜八","人, 人","天槓","人對"
"人, 人, 猴, 猴","人, 人","猴, 猴","人對","猴對"
"人, 人, 猴, 短七","短七, 猴","人, 人","3點","人對"
"人, 人, 猴, 短六","短六, 猴","人, 人","9點","人對"
"人, 人, 猴, 短十","短十, 猴","人, 人","6點","人對"
"人, 人, 猴, 短十一","短十一, 猴","人, 人","7點","人對"
"人, 人, 猴, 長六","長六, 猴","人, 人","9點","人對"
"人, 人, 猴, 長十","長十, 猴","人, 人","6點","人對"
"人, 人, 猴, 長四","長四, 猴","人, 人","7點","人對"
"人, 人, 猴, 雜七","雜七, 猴","人, 人","3點","人對"
"人, 人, 猴, 雜九","雜九, 猴","人, 人","5點","人對"
"人, 人, 猴, 雜五","雜五, 猴","人, 人","8點","人對"
"人, 人, 猴, 雜八","雜八, 猴","人, 人","4點","人對"
"人, 人, 短七, 短七","短七, 短七","人, 人","短七對","人對"
"人, 人, 短七, 短六","短七, 短六","人, 人","3點","人對"
"人, 人, 短七, 短十","短十, 短七","人, 人","7點","人對"
"人, 人, 短七, 短十一","短十一, 短七","人, 人","8點","人對"
"人, 人, 短七, 長六","長六, 短七","人, 人","3點","人對"
"人, 人, 短七, 長十","長十, 短七","人, 人","7點","人對"
"人, 人, 短七, 長四","長四, 短七","人, 人","1點","人對"
"人, 人, 短七, 雜七","短七, 雜七","人, 人","4點","人對"
"人, 人, 短七, 雜九","短七, 雜九","人, 人","6點","人對"
"人, 人, 短七, 雜五","短七, 雜五","人, 人","2點","人對"
"人, 人, 短七, 雜八","短七, 雜八","人, 人","5點","人對"
"人, 人, 短六, 短六","短六, 短六","人, 人","短六對","人對"
"人, 人, 短六, 短十","短十, 短六","人, 人","6點","人對"
"人, 人, 短六, 短十一","短十一, 短六","人, 人","7點","人對"
"人, 人, 短六, 長六","長六, 短六","人, 人","2點","人對"
"人, 人, 短六, 長十","長十, 短六","人, 人","6點","人對"
"人, 人, 短六, 長四","長四, 短六","人, 人","0點","人對"
"人, 人, 短六, 雜七","短六, 雜七","人, 人","3點","人對"
"人, 人, 短六, 雜九","短六, 雜九","人, 人","5點","人對"
"人, 人, 短六, 雜五","短六, 雜五","人, 人","1點","人對"
"人, 人, 短六, 雜八","短六, 雜八","人, 人","4點","人對"
"人, 人, 短十, 短十","短十, 短十","人, 人","短十對","人對"
"人, 人, 短十, 短十一","人, 短十","人, 短十一","8點","9點"
"人, 人, 短十, 長六","長六, 短十","人, 人","6點","人對"
"人, 人, 短十, 長十","人, 長十","人, 短十","8點","8點"
"人, 人, 短十, 長四","長四, 短十","人, 人","4點","人對"
"人, 人, 短十, 雜七","短十, 雜七","人, 人","7點","人對"
"人, 人, 短十, 雜九","短十, 雜九","人, 人","9點","人對"
"人, 人, 短十, 雜五","短十, 雜五","人, 人","5點","人對"
"人, 人, 短十, 雜八","短十, 雜八","人, 人","8點","人對"
"人, 人, 短十一, 短十一","短十一, 短十一","人, 人","短十一對","人對"
"人, 人, 短十一, 長六","長六, 短十一","人, 人","7點","人對"
"人, 人, 短十一, 長十","人, 長十","人, 短十一","8點","9點"
"人, 人, 短十一, 長四","長四, 短十一","人, 人","5點","人對"
"人, 人, 短十一, 雜七","短十一, 雜七","人, 人","8點","人對"
"人, 人, 短十一, 雜九","人, 雜九","人, 短十一","7點","9點"
"人, 人, 短十一, 雜五","短十一, 雜五","人, 人","6點","人對"
"人, 人, 短十一, 雜八","短十一, 雜八","人, 人","9點","人對"
"人, 人, 長六, 長六","長六, 長六","人, 人","長六對","人對"
"人, 人, 長六, 長十","長十, 長六","人, 人","6點","人對"
"人, 人, 長六, 長四","長六, 長四","人, 人","0點","人對"
"人, 人, 長六, 雜七","長六, 雜七","人, 人","3點","人對"
"人, 人, 長六, 雜九","長六, 雜九","人, 人","5點","人對"
"人, 人, 長六, 雜五","長六, 雜五","人, 人","1點","人對"
"人, 人, 長六, 雜八","長六, 雜八","人, 人","4點","人對"
"人, 人, 長十, 長十","長十, 長十","人, 人","長十對","人對"
"人, 人, 長十, 長四","長十, 長四","人, 人","4點","人對"
"人, 人, 長十, 雜七","長十, 雜七","人, 人","7點","人對"
"人, 人, 長十, 雜九","長十, 雜九","人, 人","9點","人對"
"人, 人, 長十, 雜五","長十, 雜五","人, 人","5點","人對"
"人, 人, 長十, 雜八","長十, 雜八","人, 人","8點","人對"
"人, 人, 長四, 長四","長四, 長四","人, 人","長四對","人對"
"人, 人, 長四, 雜七","長四, 雜七","人, 人","1點","人對"
"人, 人, 長四, 雜九","長四, 雜九","人, 人","3點","人對"
"人, 人, 長四, 雜五","長四, 雜五","人, 人","9點","人對"
"人, 人, 長四, 雜八","長四, 雜八","人, 人","2點","人對"
"人, 人, 雜七, 雜七","雜七, 雜七","人, 人","雜七對","人對"
"人, 人, 雜七, 雜九","雜九, 雜七","人, 人","6點","人對"
"人, 人, 雜七, 雜五","雜七, 雜五","人, 人","2點","人對"
"人, 人, 雜七, 雜八","雜八, 雜七","人, 人","5點","人對"
"人, 人, 雜九, 雜九","雜九, 雜九","人, 人","雜九對","人對"
"人, 人, 雜九, 雜五","雜九, 雜五","人, 人","4點","人對"
"人, 人, 雜九, 雜八","雜九, 雜八","人, 人","7點","人對"
"人, 人, 雜五, 雜五","雜五, 雜五","人, 人","雜五對","人對"
"人, 人, 雜五, 雜八","雜八, 雜五","人, 人","3點","人對"
"人, 人, 雜八, 雜八","雜八, 雜八","人, 人","雜八對","人對"
"人, 和, 和, 地","地, 人","和, 和","地槓","和對"
"人, 和, 和, 天","天, 人","和, 和","天槓","和對"
"人, 和, 和, 猴","人, 猴","和, 和","4點","和對"
"人, 和, 和, 短七","人, 短七","和, 和","5點","和對"
"人, 和, 和, 短六","人, 短六","和, 和","4點","和對"
"人, 和, 和, 短十","人, 短十","和, 和","8點","和對"
"人, 和, 和, 短十一","人, 短十一","和, 和","9點","和對"
"人, 和, 和, 長六","人, 長六","和, 和","4點","和對"
"人, 和, 和, 長十","人, 長十","和, 和","8點","和對"
"人, 和, 和, 長四","人, 長四","和, 和","2點","和對"
"人, 和, 和, 雜七","人, 雜七","和, 和","5點","和對"
"人, 和, 和, 雜九","人, 雜九","和, 和","7點","和對"
"人, 和, 和, 雜五","人, 雜五","和, 和","3點","和對"
"人, 和, 和, 雜八","人, 雜八","和, 和","6點","和對"
"人, 和, 地, 地","地, 和","地, 人","6點","地槓"
"人, 和, 地, 天","天, 和","地, 人","6點","地槓"
"人, 和, 地, 猴","和, 猴","地, 人","7點","地槓"
"人, 和, 地, 短七","和, 短七","地, 人","1點","地槓"
"人, 和, 地, 短六","和, 短六","地, 人","0點","地槓"
"人, 和, 地, 短十","和, 短十","地, 人","4點","地槓"
"人, 和, 地, 短十一","和, 短十一","地, 人","5點","地槓"
"人, 和, 地, 長六","和, 長六","地, 人","0點","地槓"
"人, 和, 地, 長十","和, 長十","地, 人","4點","地槓"
"人, 和, 地, 長四","和, 長四","地, 人","8點","地槓"
"人, 和, 地, 雜七","和, 雜七","地, 人","1點","地槓"
"人, 和, 地, 雜九","和, 雜九","地, 人","3點","地槓"
"人, 和, 地, 雜五","和, 雜五","地, 人","9點","地槓"
"人, 和, 地, 雜八","人, 和","地, 雜八","2點","地槓"
"人, 和, 天, 天","天, 和","天, 人","6點","天槓"
"人, 和, 天, 猴","和, 猴","天, 人","7點","天槓"
"人, 和, 天, 短七","和, 短七","天, 人","1點","天槓"
"人, 和, 天, 短六","和, 短六","天, 人","0點","天槓"
"人, 和, 天, 短十","和, 短十","天, 人","4點","天槓"
"人, 和, 天, 短十一","和, 短十一","天, 人","5點","天槓"
"人, 和, 天, 長六","和, 長六","天, 人","0點","天槓"
"人, 和, 天, 長十","和, 長十","天, 人","4點","天槓"
"人, 和, 天, 長四","和, 長四","天, 人","8點","天槓"
"人, 和, 天, 雜七","和, 雜七","天, 人","1點","天槓"
"人, 和, 天, 雜九","和, 雜九","天, 人","3點","天槓"
"人, 和, 天, 雜五","和, 雜五","天, 人","9點","天槓"
"人, 和, 天, 雜八","人, 和","天, 雜八","2點","天槓"
"人, 和, 猴, 猴","人, 和","猴, 猴","2點","猴對"
"人, 和, 猴, 短七","人, 短七","和, 猴","5點","7點"
"人, 和, 猴, 短六","人, 短六","和, 猴","4點","7點"
"人, 和, 猴, 短十","和, 猴","人, 短十","7點","8點"
"人, 和, 猴, 短十一","和, 猴","人, 短十一","7點","9點"
"人, 和, 猴, 長六","人, 長六","和, 猴","4點","7點"
"人, 和, 猴, 長十","和, 猴","人, 長十","7點","8點"
"人, 和, 猴, 長四","人, 猴","和, 長四","4點","8點"
"人, 和, 猴, 雜七","人, 雜七","和, 猴","5點","7點"
"人, 和, 猴, 雜九","和, 猴","人, 雜九","7點","7點"
"人, 和, 猴, 雜五","人, 猴","和, 雜五","4點","9點"
"人, 和, 猴, 雜八","人, 雜八","和, 猴","6點","7點"
"人, 和, 短七, 短七","人, 和","短七, 短七","2點","短七對"
"人, 和, 短七, 短六","人, 和","短七, 短六","2點","3點"
"人, 和, 短七, 短十","和, 短十","人, 短七","4點","5點"
"人, 和, 短七, 短十一","和, 短十一","人, 短七","5點","5點"
"人, 和, 短七, 長六","人, 和","長六, 短七","2點","3點"
"人, 和, 短七, 長十","和, 長十","人, 短七","4點","5點"
"人, 和, 短七, 長四","人, 短七","和, 長四","5點","8點"
"人, 和, 短七, 雜七","人, 和","短七, 雜七","2點","4點"
"人, 和, 短七, 雜九","和, 雜九","人, 短七","3點","5點"
"人, 和, 短七, 雜五","人, 短七","和, 雜五","5點","9點"
"人, 和, 短七, 雜八","人, 和","短七, 雜八","2點","5點"
"人, 和, 短六, 短六","人, 和","短六, 短六","2點","短六對"
"人, 和, 短六, 短十","和, 短十","人, 短六","4點","4點"
"人, 和, 短六, 短十一","人, 短六","和, 短十一","4點","5點"
"人, 和, 短六, 長六","長六, 短六","人, 和","2點","2點"
"人, 和, 短六, 長十","和, 長十","人, 短六","4點","4點"
"人, 和, 短六, 長四","人, 短六","和, 長四","4點","8點"
"人, 和, 短六, 雜七","人, 和","短六, 雜七","2點","3點"
"人, 和, 短六, 雜九","和, 雜九","人, 短六","3點","4點"
"人, 和, 短六, 雜五","人, 短六","和, 雜五","4點","9點"
"人, 和, 短六, 雜八","人, 和","短六, 雜八","2點","4點"
"人, 和, 短十, 短十","人, 和","短十, 短十","2點","短十對"
"人, 和, 短十, 短十一","和, 短十一","人, 短十","5點","8點"
"人, 和, 短十, 長六","和, 短十","人, 長六","4點","4點"
"人, 和, 短十, 長十","和, 短十","人, 長十","4點","8點"
"人, 和, 短十, 長四","和, 長四","人, 短十","8點","8點"
"人, 和, 短十, 雜七","和, 短十","人, 雜七","4點","5點"
"人, 和, 短十, 雜九","和, 短十","人, 雜九","4點","7點"
"人, 和, 短十, 雜五","人, 短十","和, 雜五","8點","9點"
"人, 和, 短十, 雜八","和, 短十","人, 雜八","4點","6點"
"人, 和, 短十一, 短十一","人, 和","短十一, 短十一","2點","短十一對"
"人, 和, 短十一, 長六","人, 長六","和, 短十一","4點","5點"
"人, 和, 短十一, 長十","和, 短十一","人, 長十","5點","8點"
"人, 和, 短十一, 長四","和, 長四","人, 短十一","8點","9點"
"人, 和, 短十一, 雜七","和, 短十一","人, 雜七","5點","5點"
"人, 和, 短十一, 雜九","和, 短十一","人, 雜九","5點","7點"
"人, 和, 短十一, 雜五","和, 雜五","人, 短十一","9點","9點"
"人, 和, 短十一, 雜八","和, 短十一","人, 雜八","5點","6點"
"人, 和, 長六, 長六","人, 和","長六, 長六","2點","長六對"
"人, 和, 長六, 長十","和, 長十","人, 長六","4點","4點"
"人, 和, 長六, 長四","人, 長六","和, 長四","4點","8點"
"人, 和, 長六, 雜七","人, 和","長六, 雜七","2點","3點"
"人, 和, 長六, 雜九","和, 雜九","人, 長六","3點","4點"
"人, 和, 長六, 雜五","人, 長六","和, 雜五","4點","9點"
"人, 和, 長六, 雜八","人, 和","長六, 雜八","2點","4點"
"人, 和, 長十, 長十","人, 和","長十, 長十","2點","長十對"
"人, 和, 長十, 長四","和, 長四","人, 長十","8點","8點"
"人, 和, 長十, 雜七","和, 長十","人, 雜七","4點","5點"
"人, 和, 長十, 雜九","和, 長十","人, 雜九","4點","7點"
"人, 和, 長十, 雜五","人, 長十","和, 雜五","8點","9點"
"人, 和, 長十, 雜八","和, 長十","人, 雜八","4點","6點"
"人, 和, 長四, 長四","人, 和","長四, 長四","2點","長四對"
"人, 和, 長四, 雜七","人, 雜七","和, 長四","5點","8點"
"人, 和, 長四, 雜九","人, 雜九","和, 長四","7點","8點"
"人, 和, 長四, 雜五","人, 雜五","和, 長四","3點","8點"
"人, 和, 長四, 雜八","人, 雜八","和, 長四","6點","8點"
"人, 和, 雜七, 雜七","人, 和","雜七, 雜七","2點","雜七對"
"人, 和, 雜七, 雜九","和, 雜九","人, 雜七","3點","5點"
"人, 和, 雜七, 雜五","人, 雜七","和, 雜五","5點","9點"
"人, 和, 雜七, 雜八","人, 和","雜八, 雜七","2點","5點"
"人, 和, 雜九, 雜九","人, 和","雜九, 雜九","2點","雜九對"
"人, 和, 雜九, 雜五","人, 雜九","和, 雜五","7點","9點"
"人, 和, 雜九, 雜八","和, 雜九","人, 雜八","3點","6點"
"人, 和, 雜五, 雜五","人, 和","雜五, 雜五","2點","雜五對"
"人, 和, 雜五, 雜八","人, 雜八","和, 雜五","6點","9點"
"人, 和, 雜八, 雜八","人, 和","雜八, 雜八","2點","雜八對"
"人, 地, 地, 天","天, 人","地, 地","天槓","地對"
"人, 地, 地, 猴","地, 猴","地, 人","8點","地槓"
"人, 地, 地, 短七","地, 短七","地, 人","9點","地槓"
"人, 地, 地, 短六","地, 短六","地, 人","8點","地槓"
"人, 地, 地, 短十","人, 短十","地, 地","8點","地對"
"人, 地, 地, 短十一","人, 短十一","地, 地","9點","地對"
"人, 地, 地, 長六","地, 長六","地, 人","8點","地槓"
"人, 地, 地, 長十","人, 長十","地, 地","8點","地對"
"人, 地, 地, 長四","地, 長四","地, 人","6點","地槓"
"人, 地, 地, 雜七","地, 雜七","地, 人","9點","地槓"
"人, 地, 地, 雜九","地, 人","地, 雜九","地槓","地王"
"人, 地, 地, 雜五","地, 雜五","地, 人","7點","地槓"
"人, 地, 地, 雜八","地, 人","地, 雜八","地槓","地槓"
"人, 地, 天, 天","地, 人","天, 天","地槓","天對"
"人, 地, 天, 猴","天, 猴","地, 人","8點","地槓"
"人, 地, 天, 短七","天, 短七","地, 人","9點","地槓"
"人, 地, 天, 短六","天, 短六","地, 人","8點","地槓"
"人, 地, 天, 短十","天, 短十","地, 人","2點","地槓"
"人, 地, 天, 短十一","天, 短十一","地, 人","3點","地槓"
"人, 地, 天, 長六","天, 長六","地, 人","8點","地槓"
"人, 地, 天, 長十","天, 長十","地, 人","2點","地槓"
"人, 地, 天, 長四","天, 長四","地, 人","6點","地槓"
"人, 地, 天, 雜七","天, 雜七","地, 人","9點","地槓"
"人, 地, 天, 雜九","天, 人","地, 雜九","天槓","地王"
"人, 地, 天, 雜五","天, 雜五","地, 人","7點","地槓"
"人, 地, 天, 雜八","地, 雜八","天, 人","地槓","天槓"
"人, 地, 猴, 猴","地, 人","猴, 猴","地槓","猴對"
"人, 地, 猴, 短七","人, 猴","地, 短七","4點","9點"
"人, 地, 猴, 短六","短六, 猴","地, 人","9點","地槓"
"人, 地, 猴, 短十","短十, 猴","地, 人","6點","地槓"
"人, 地, 猴, 短十一","短十一, 猴","地, 人","7點","地槓"
"人, 地, 猴, 長六","長六, 猴","地, 人","9點","地槓"
"人, 地, 猴, 長十","長十, 猴","地, 人","6點","地槓"
"人, 地, 猴, 長四","長四, 猴","地, 人","7點","地槓"
"人, 地, 猴, 雜七","人, 猴","地, 雜七","4點","9點"
"人, 地, 猴, 雜九","雜九, 猴","地, 人","5點","地槓"
"人, 地, 猴, 雜五","雜五, 猴","地, 人","8點","地槓"
"人, 地, 猴, 雜八","人, 猴","地, 雜八","4點","地槓"
"人, 地, 短七, 短七","地, 人","短七, 短七","地槓","短七對"
"人, 地, 短七, 短六","人, 短六","地, 短七","4點","9點"
"人, 地, 短七, 短十","人, 短十","地, 短七","8點","9點"
"人, 地, 短七, 短十一","人, 短十一","地, 短七","9點","9點"
"人, 地, 短七, 長六","人, 長六","地, 短七","4點","9點"
"人, 地, 短七, 長十","人, 長十","地, 短七","8點","9點"
"人, 地, 短七, 長四","人, 長四","地, 短七","2點","9點"
"人, 地, 短七, 雜七","人, 雜七","地, 短七","5點","9點"
"人, 地, 短七, 雜九","人, 雜九","地, 短七","7點","9點"
"人, 地, 短七, 雜五","人, 雜五","地, 短七","3點","9點"
"人, 地, 短七, 雜八","人, 雜八","地, 短七","6點","9點"
"人, 地, 短六, 短六","地, 人","短六, 短六","地槓","短六對"
"人, 地, 短六, 短十","短十, 短六","地, 人","6點","地槓"
"人, 地, 短六, 短十一","短十一, 短六","地, 人","7點","地槓"
"人, 地, 短六, 長六","長六, 短六","地, 人","2點","地槓"
"人, 地, 短六, 長十","長十, 短六","地, 人","6點","地槓"
"人, 地, 短六, 長四","長四, 短六","地, 人","0點","地槓"
"人, 地, 短六, 雜七","人, 短六","地, 雜七","4點","9點"
"人, 地, 短六, 雜九","短六, 雜九","地, 人","5點","地槓"
"人, 地, 短六, 雜五","短六, 雜五","地, 人","1點","地槓"
"人, 地, 短六, 雜八","人, 短六","地, 雜八","4點","地槓"
"人, 地, 短十, 短十","地, 人","短十, 短十","地槓","短十對"
"人, 地, 短十, 短十一","短十一, 短十","地, 人","1點","地槓"
"人, 地, 短十, 長六","長六, 短十","地, 人","6點","地槓"
"人, 地, 短十, 長十","長十, 短十","地, 人","0點","地槓"
"人, 地, 短十, 長四","長四, 短十","地, 人","4點","地槓"
"人, 地, 短十, 雜七","人, 短十","地, 雜七","8點","9點"
"人, 地, 短十, 雜九","短十, 雜九","地, 人","9點","地槓"
"人, 地, 短十, 雜五","短十, 雜五","地, 人","5點","地槓"
"人, 地, 短十, 雜八","人, 短十","地, 雜八","8點","地槓"
"人, 地, 短十一, 短十一","地, 人","短十一, 短十一","地槓","短十一對"
"人, 地, 短十一, 長六","長六, 短十一","地, 人","7點","地槓"
"人, 地, 短十一, 長十","長十, 短十一","地, 人","1點","地槓"
"人, 地, 短十一, 長四","長四, 短十一","地, 人","5點","地槓"
"人, 地, 短十一, 雜七","人, 短十一","地, 雜七","9點","9點"
"人, 地, 短十一, 雜九","人, 短十一","地, 雜九","9點","地王"
"人, 地, 短十一, 雜五","短十一, 雜五","地, 人","6點","地槓"
"人, 地, 短十一, 雜八","人, 短十一","地, 雜八","9點","地槓"
"人, 地, 長六, 長六","地, 人","長六, 長六","地槓","長六對"
"人, 地, 長六, 長十","長十, 長六","地, 人","6點","地槓"
"人, 地, 長六, 長四","長六, 長四","地, 人","0點","地槓"
"人, 地, 長六, 雜七","人, 長六","地, 雜七","4點","9點"
"人, 地, 長六, 雜九","長六, 雜九","地, 人","5點","地槓"
"人, 地, 長六, 雜五","長六, 雜五","地, 人","1點","地槓"
"人, 地, 長六, 雜八","人, 長六","地, 雜八","4點","地槓"
"人, 地, 長十, 長十","地, 人","長十, 長十","地槓","長十對"
"人, 地, 長十, 長四","長十, 長四","地, 人","4點","地槓"
"人, 地, 長十, 雜七","人, 長十","地, 雜七","8點","9點"
"人, 地, 長十, 雜九","長十, 雜九","地, 人","9點","地槓"
"人, 地, 長十, 雜五","長十, 雜五","地, 人","5點","地槓"
"人, 地, 長十, 雜八","人, 長十","地, 雜八","8點","地槓"
"人, 地, 長四, 長四","地, 人","長四, 長四","地槓","長四對"
"人, 地, 長四, 雜七","人, 長四","地, 雜七","2點","9點"
"人, 地, 長四, 雜九","人, 長四","地, 雜九","2點","地王"
"人, 地, 長四, 雜五","長四, 雜五","地, 人","9點","地槓"
"人, 地, 長四, 雜八","人, 長四","地, 雜八","2點","地槓"
"人, 地, 雜七, 雜七","地, 人","雜七, 雜七","地槓","雜七對"
"人, 地, 雜七, 雜九","人, 雜九","地, 雜七","7點","9點"
"人, 地, 雜七, 雜五","人, 雜五","地, 雜七","3點","9點"
"人, 地, 雜七, 雜八","人, 雜八","地, 雜七","6點","9點"
"人, 地, 雜九, 雜九","地, 人","雜九, 雜九","地槓","雜九對"
"人, 地, 雜九, 雜五","雜九, 雜五","地, 人","4點","地槓"
"人, 地, 雜九, 雜八","人, 雜九","地, 雜八","7點","地槓"
"人, 地, 雜五, 雜五","地, 人","雜五, 雜五","地槓","雜五對"
"人, 地, 雜五, 雜八","人, 雜五","地, 雜八","3點","地槓"
"人, 地, 雜八, 雜八","地, 人","雜八, 雜八","地槓","雜八對"
"人, 天, 天, 猴","天, 猴","天, 人","8點","天槓"
"人, 天, 天, 短七","天, 短七","天, 人","9點","天槓"
"人, 天, 天, 短六","天, 短六","天, 人","8點","天槓"
"人, 天, 天, 短十","人, 短十","天, 天","8點","天對"
"人, 天, 天, 短十一","人, 短十一","天, 天","9點","天對"
"人, 天, 天, 長六","天, 長六","天, 人","8點","天槓"
"人, 天, 天, 長十","人, 長十","天, 天","8點","天對"
"人, 天, 天, 長四","天, 長四","天, 人","6點","天槓"
"人, 天, 天, 雜七","天, 雜七","天, 人","9點","天槓"
"人, 天, 天, 雜九","天, 人","天, 雜九","天槓","天王"
"人, 天, 天, 雜五","天, 雜五","天, 人","7點","天槓"
"人, 天, 天, 雜八","天, 人","天, 雜八","天槓","天槓"
"人, 天, 猴, 猴","天, 人","猴, 猴","天槓","猴對"
"人, 天, 猴, 短七","人, 猴","天, 短七","4點","9點"
"人, 天, 猴, 短六","短六, 猴","天, 人","9點","天槓"
"人, 天, 猴, 短十","短十, 猴","天, 人","6點","天槓"
"人, 天, 猴, 短十一","短十一, 猴","天, 人","7點","天槓"
"人, 天, 猴, 長六","長六, 猴","天, 人","9點","天槓"
"人, 天, 猴, 長十","長十, 猴","天, 人","6點","天槓"
"人, 天, 猴, 長四","長四, 猴","天, 人","7點","天槓"
"人, 天, 猴, 雜七","人, 猴","天, 雜七","4點","9點"
"人, 天, 猴, 雜九","雜九, 猴","天, 人","5點","天槓"
"人, 天, 猴, 雜五","雜五, 猴","天, 人","8點","天槓"
"人, 天, 猴, 雜八","人, 猴","天, 雜八","4點","天槓"
"人, 天, 短七, 短七","天, 人","短七, 短七","天槓","短七對"
"人, 天, 短七, 短六","人, 短六","天, 短七","4點","9點"
"人, 天, 短七, 短十","人, 短十","天, 短七","8點","9點"
"人, 天, 短七, 短十一","人, 短十一","天, 短七","9點","9點"
"人, 天, 短七, 長六","人, 長六","天, 短七","4點","9點"
"人, 天, 短七, 長十","人, 長十","天, 短七","8點","9點"
"人, 天, 短七, 長四","人, 長四","天, 短七","2點","9點"
"人, 天, 短七, 雜七","人, 雜七","天, 短七","5點","9點"
"人, 天, 短七, 雜九","人, 雜九","天, 短七","7點","9點"
"人, 天, 短七, 雜五","人, 雜五","天, 短七","3點","9點"
"人, 天, 短七, 雜八","人, 雜八","天, 短七","6點","9點"
"人, 天, 短六, 短六","天, 人","短六, 短六","天槓","短六對"
"人, 天, 短六, 短十","短十, 短六","天, 人","6點","天槓"
"人, 天, 短六, 短十一","短十一, 短六","天, 人","7點","天槓"
"人, 天, 短六, 長六","長六, 短六","天, 人","2點","天槓"
"人, 天, 短六, 長十","長十, 短六","天, 人","6點","天槓"
"人, 天, 短六, 長四","長四, 短六","天, 人","0點","天槓"
"人, 天, 短六, 雜七","人, 短六","天, 雜七","4點","9點"
"人, 天, 短六, 雜九","短六, 雜九","天, 人","5點","天槓"
